"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,115967139.251596,0,11,0,0,yes,1.000000
19,,205595432.137848,251894989.173397,0,13,0,0,yes,1.000000
18,,6912402.709697,29618281.694326,0,4,0,0,yes,1.000000
17,,454391920.707954,747776384.440066,0,26,0,0,yes,1.000000
16,,296351780.189224,523303177.555795,0,17,0,0,yes,1.000000
15,,26205526.782636,54161001.364560,0,8,0,0,yes,1.000000
14,,12003992.311404,24974384.243463,0,6,0,0,yes,1.000000
13,,17863544.902068,21040227.115075,0,7,0,0,yes,1.000000
12,,705066430.688418,712029679.520449,0,10,0,0,yes,1.000000
11,,1003817025.933365,1039878516.933054,0,16,0,0,yes,1.000000
10,,1102896837.645510,1274585309.797415,0,13,0,0,yes,1.000000
9,,12125270.957123,22378849.608722,0,5,0,0,yes,1.000000
8,,2340142025.314821,3717244498.140713,0,32,0,0,yes,1.000000
7,,752792545.536678,774331854.708744,0,9,0,0,yes,1.000000
6,,566484374.762822,943947850.603943,0,11,0,0,yes,1.000000
5,,1003389069.255157,1090988879.581705,0,9,0,0,yes,1.000000
4,,290422897.200464,398433883.726259,0,10,0,0,yes,1.000000
3,,1493331560.256336,1586067120.020884,0,21,0,0,yes,1.000000
2,,426394164.332597,436295990.704321,0,6,0,0,yes,1.000000
1,,222112856.130479,245406983.771138,0,7,0,0,yes,1.000000
