"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,72135414.732882,0,10,0,0,yes,1.000000
19,,205595432.137848,374096439.432688,0,17,0,0,yes,1.000000
18,,6912402.709697,29618281.694326,0,4,0,0,yes,1.000000
17,,454391920.707954,798917711.615093,0,24,0,0,yes,1.000000
16,,296351780.189224,412922027.403635,0,12,0,0,yes,1.000000
15,,26205526.782636,36513802.106328,0,4,0,0,yes,1.000000
14,,12003992.311404,19832447.900211,0,6,0,0,yes,1.000000
13,,17863544.902068,21671403.835159,0,5,0,0,yes,1.000000
12,,705066430.688418,724420280.006226,0,10,0,0,yes,1.000000
11,,1003817025.933365,1106993491.659512,0,19,0,0,yes,1.000000
10,,1102896837.645510,1491237081.071498,0,17,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,3025442497.097710,0,29,0,0,yes,1.000000
7,,752792545.536678,770764504.978551,0,6,0,0,yes,1.000000
6,,566484374.762822,648672265.186655,0,10,0,0,yes,1.000000
5,,1003389069.255157,1011531135.029091,0,11,0,0,yes,1.000000
4,,290422897.200464,330864779.062289,0,8,0,0,yes,1.000000
3,,1493331560.256336,1493556541.962603,0,20,0,0,yes,1.000000
2,,426394164.332597,710873769.183007,0,10,0,0,yes,1.000000
1,,222112856.130479,229382090.494629,0,6,0,0,yes,1.000000
