"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,85395479.901489,0,14,0,0,yes,1.000000
19,,205595432.137848,239632265.362132,0,12,0,0,yes,1.000000
18,,6912402.709697,29618281.694326,0,4,0,0,yes,1.000000
17,,454391920.707954,839606251.189941,0,26,0,0,yes,1.000000
16,,296351780.189224,664332312.482369,0,16,0,0,yes,1.000000
15,,26205526.782636,44637443.871553,0,5,0,0,yes,1.000000
14,,12003992.311404,20432152.045455,0,6,0,0,yes,1.000000
13,,17863544.902068,24949821.062928,0,5,0,0,yes,1.000000
12,,705066430.688418,728779558.821330,0,12,0,0,yes,1.000000
11,,1003817025.933365,1649244024.101080,0,21,0,0,yes,1.000000
10,,1102896837.645510,1383830683.187828,0,15,0,0,yes,1.000000
9,,12125270.957123,22378849.608722,0,5,0,0,yes,1.000000
8,,2340142025.314821,2759729469.485752,0,29,0,0,yes,1.000000
7,,752792545.536678,810042211.958024,0,9,0,0,yes,1.000000
6,,566484374.762822,692613920.904981,0,11,0,0,yes,1.000000
5,,1003389069.255157,1299607520.764390,0,15,0,0,yes,1.000000
4,,290422897.200464,405926916.955994,0,9,0,0,yes,1.000000
3,,1493331560.256336,1562725781.361343,0,22,0,0,yes,1.000000
2,,426394164.332597,436295990.704321,0,6,0,0,yes,1.000000
1,,222112856.130479,231044916.121697,0,6,0,0,yes,1.000000
