"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,124346579.267236,0,15,0,0,yes,1.000000
19,,205595432.137848,245255700.079787,0,12,0,0,yes,1.000000
18,,6912402.709697,29070686.284932,0,3,0,0,yes,1.000000
17,,454391920.707954,988565420.771927,0,32,0,0,yes,1.000000
16,,296351780.189224,390346584.053280,0,10,0,0,yes,1.000000
15,,26205526.782636,36384441.648214,0,4,0,0,yes,1.000000
14,,12003992.311404,18052349.528869,0,5,0,0,yes,1.000000
13,,17863544.902068,23424118.074610,0,4,0,0,yes,1.000000
12,,705066430.688418,736131154.487125,0,9,0,0,yes,1.000000
11,,1003817025.933365,1328732314.375460,0,21,0,0,yes,1.000000
10,,1102896837.645510,1250484913.742562,0,12,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,3354393322.808862,0,34,0,0,yes,1.000000
7,,752792545.536678,763009660.523184,0,8,0,0,yes,1.000000
6,,566484374.762822,648372475.136156,0,9,0,0,yes,1.000000
5,,1003389069.255157,1140892328.888749,0,11,0,0,yes,1.000000
4,,290422897.200464,400766985.549039,0,10,0,0,yes,1.000000
3,,1493331560.256336,1535462516.138809,0,18,0,0,yes,1.000000
2,,426394164.332597,710873769.183007,0,10,0,0,yes,1.000000
1,,222112856.130479,254225828.635617,0,6,0,0,yes,1.000000
