"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,127572924.365456,0,16,0,0,yes,1.000000
19,,205595432.137848,380643321.338074,0,18,0,0,yes,1.000000
18,,6912402.709697,12301291.664910,0,1,0,0,yes,1.000000
17,,454391920.707954,735314011.169347,0,27,0,0,yes,1.000000
16,,296351780.189224,544163564.629143,0,17,0,0,yes,1.000000
15,,26205526.782636,49235373.563421,0,5,0,0,yes,1.000000
14,,12003992.311404,29665652.576558,0,8,0,0,yes,1.000000
13,,17863544.902068,21168295.161890,0,4,0,0,yes,1.000000
12,,705066430.688418,705237130.362458,0,11,0,0,yes,1.000000
11,,1003817025.933365,1362020483.868846,0,19,0,0,yes,1.000000
10,,1102896837.645510,1868756224.127418,0,18,0,0,yes,1.000000
9,,12125270.957123,26076944.616725,0,4,0,0,yes,1.000000
8,,2340142025.314821,4242730699.339174,0,36,0,0,yes,1.000000
7,,752792545.536678,769646838.660856,0,6,0,0,yes,1.000000
6,,566484374.762822,1150940005.955504,0,13,0,0,yes,1.000000
5,,1003389069.255157,1033225350.250857,0,12,0,0,yes,1.000000
4,,290422897.200464,689690705.187520,0,16,0,0,yes,1.000000
3,,1493331560.256336,1562444704.986276,0,16,0,0,yes,1.000000
2,,426394164.332597,499084207.304269,0,7,0,0,yes,1.000000
1,,222112856.130479,222681628.162362,0,4,0,0,yes,1.000000
