"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,98396345.228150,0,15,0,0,yes,1.000000
19,,205595432.137848,330083344.847965,0,17,0,0,yes,1.000000
18,,6912402.709697,27486471.071823,0,2,0,0,yes,1.000000
17,,454391920.707954,624635797.669898,0,24,0,0,yes,1.000000
16,,296351780.189224,670743708.320439,0,18,0,0,yes,1.000000
15,,26205526.782636,36513802.106328,0,4,0,0,yes,1.000000
14,,12003992.311404,20568155.932650,0,4,0,0,yes,1.000000
13,,17863544.902068,21776827.457523,0,5,0,0,yes,1.000000
12,,705066430.688418,710938461.273891,0,9,0,0,yes,1.000000
11,,1003817025.933365,1517767322.269089,0,25,0,0,yes,1.000000
10,,1102896837.645510,1662354620.403991,0,17,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,2357782940.563323,0,24,0,0,yes,1.000000
7,,752792545.536678,867813933.757435,0,7,0,0,yes,1.000000
6,,566484374.762822,692216142.935859,0,10,0,0,yes,1.000000
5,,1003389069.255157,1764003538.592794,0,21,0,0,yes,1.000000
4,,290422897.200464,336802674.773848,0,8,0,0,yes,1.000000
3,,1493331560.256336,1532321031.976120,0,18,0,0,yes,1.000000
2,,426394164.332597,710873769.183007,0,10,0,0,yes,1.000000
1,,222112856.130479,229382090.494629,0,6,0,0,yes,1.000000
