"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,95839046.458125,0,13,0,0,yes,1.000000
19,,205595432.137848,307986558.328837,0,17,0,0,yes,1.000000
18,,6912402.709697,12301291.664910,0,1,0,0,yes,1.000000
17,,454391920.707954,922091619.968878,0,29,0,0,yes,1.000000
16,,296351780.189224,617846833.333491,0,16,0,0,yes,1.000000
15,,26205526.782636,31595127.585888,0,6,0,0,yes,1.000000
14,,12003992.311404,38998546.119283,0,8,0,0,yes,1.000000
13,,17863544.902068,19096458.799293,0,3,0,0,yes,1.000000
12,,705066430.688418,709854139.980286,0,11,0,0,yes,1.000000
11,,1003817025.933365,1203596095.114413,0,20,0,0,yes,1.000000
10,,1102896837.645510,1180752611.492665,0,11,0,0,yes,1.000000
9,,12125270.957123,23243520.518563,0,6,0,0,yes,1.000000
8,,2340142025.314821,3483698101.061653,0,32,0,0,yes,1.000000
7,,752792545.536678,765668418.813076,0,10,0,0,yes,1.000000
6,,566484374.762822,738383960.018572,0,8,0,0,yes,1.000000
5,,1003389069.255157,1109607749.774263,0,11,0,0,yes,1.000000
4,,290422897.200464,427373482.481153,0,10,0,0,yes,1.000000
3,,1493331560.256336,1514410551.696550,0,22,0,0,yes,1.000000
2,,426394164.332597,815470527.329669,0,10,0,0,yes,1.000000
1,,222112856.130479,237738524.919067,0,7,0,0,yes,1.000000
