"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,100907643.790003,0,14,0,0,yes,1.000000
19,,205595432.137848,378546832.140802,0,20,0,0,yes,1.000000
18,,6912402.709697,27486471.071823,0,2,0,0,yes,1.000000
17,,454391920.707954,662077103.370094,0,26,0,0,yes,1.000000
16,,296351780.189224,630557432.729844,0,16,0,0,yes,1.000000
15,,26205526.782636,36513802.106328,0,4,0,0,yes,1.000000
14,,12003992.311404,21854549.556373,0,8,0,0,yes,1.000000
13,,17863544.902068,19932301.400949,0,4,0,0,yes,1.000000
12,,705066430.688418,710790693.254251,0,11,0,0,yes,1.000000
11,,1003817025.933365,1339155527.446670,0,18,0,0,yes,1.000000
10,,1102896837.645510,1446112041.373640,0,15,0,0,yes,1.000000
9,,12125270.957123,29656686.782476,0,5,0,0,yes,1.000000
8,,2340142025.314821,3833707665.652788,0,35,0,0,yes,1.000000
7,,752792545.536678,776263212.626098,0,10,0,0,yes,1.000000
6,,566484374.762822,654844589.546732,0,8,0,0,yes,1.000000
5,,1003389069.255157,1099275458.358309,0,11,0,0,yes,1.000000
4,,290422897.200464,541451795.356039,0,12,0,0,yes,1.000000
3,,1493331560.256336,1517971188.768750,0,21,0,0,yes,1.000000
2,,426394164.332597,590165524.739002,0,9,0,0,yes,1.000000
1,,222112856.130479,235612358.704263,0,6,0,0,yes,1.000000
