"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,58580384.477947,0,9,0,0,yes,1.000000
19,,205595432.137848,438292438.076666,0,21,0,0,yes,1.000000
18,,6912402.709697,27486471.071823,0,2,0,0,yes,1.000000
17,,454391920.707954,664639519.984182,0,24,0,0,yes,1.000000
16,,296351780.189224,635916910.032837,0,14,0,0,yes,1.000000
15,,26205526.782636,33189716.711414,0,4,0,0,yes,1.000000
14,,12003992.311404,32783878.595515,0,4,0,0,yes,1.000000
13,,17863544.902068,23014425.189231,0,4,0,0,yes,1.000000
12,,705066430.688418,707039716.882235,0,13,0,0,yes,1.000000
11,,1003817025.933365,1146833755.553133,0,20,0,0,yes,1.000000
10,,1102896837.645510,1208831625.412071,0,14,0,0,yes,1.000000
9,,12125270.957123,22378849.608722,0,5,0,0,yes,1.000000
8,,2340142025.314821,2806765929.480133,0,29,0,0,yes,1.000000
7,,752792545.536678,756418597.121242,0,10,0,0,yes,1.000000
6,,566484374.762822,706078359.705926,0,9,0,0,yes,1.000000
5,,1003389069.255157,1408604856.785244,0,16,0,0,yes,1.000000
4,,290422897.200464,438388717.896497,0,11,0,0,yes,1.000000
3,,1493331560.256336,1535291037.644831,0,20,0,0,yes,1.000000
2,,426394164.332597,442494078.714362,0,7,0,0,yes,1.000000
1,,222112856.130479,225375742.177879,0,6,0,0,yes,1.000000
