"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,117400339.590060,0,12,0,0,yes,1.000000
19,,205595432.137848,422474464.158539,0,20,0,0,yes,1.000000
18,,6912402.709697,12301291.664910,0,1,0,0,yes,1.000000
17,,454391920.707954,483967387.811258,0,23,0,0,yes,1.000000
16,,296351780.189224,752394960.740436,0,21,0,0,yes,1.000000
15,,26205526.782636,40602859.346633,0,4,0,0,yes,1.000000
14,,12003992.311404,39245003.648891,0,7,0,0,yes,1.000000
13,,17863544.902068,20190471.767637,0,4,0,0,yes,1.000000
12,,705066430.688418,718587828.381884,0,14,0,0,yes,1.000000
11,,1003817025.933365,1019736588.232153,0,16,0,0,yes,1.000000
10,,1102896837.645510,1592365813.325394,0,16,0,0,yes,1.000000
9,,12125270.957123,35177569.414595,0,7,0,0,yes,1.000000
8,,2340142025.314821,2821636971.851665,0,26,0,0,yes,1.000000
7,,752792545.536678,769854514.505572,0,8,0,0,yes,1.000000
6,,566484374.762822,573644411.127974,0,10,0,0,yes,1.000000
5,,1003389069.255157,1778025648.873749,0,18,0,0,yes,1.000000
4,,290422897.200464,569452550.833713,0,8,0,0,yes,1.000000
3,,1493331560.256336,1547260291.242755,0,22,0,0,yes,1.000000
2,,426394164.332597,800329343.922688,0,10,0,0,yes,1.000000
1,,222112856.130479,243783418.832872,0,6,0,0,yes,1.000000
