"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,53411075.009121,0,12,0,0,yes,1.000000
19,,205595432.137848,332699621.082209,0,15,0,0,yes,1.000000
18,,6912402.709697,31595104.989735,0,4,0,0,yes,1.000000
17,,454391920.707954,471966844.603732,0,21,0,0,yes,1.000000
16,,296351780.189224,501149797.064868,0,13,0,0,yes,1.000000
15,,26205526.782636,34475532.045068,0,5,0,0,yes,1.000000
14,,12003992.311404,13402066.470588,0,5,0,0,yes,1.000000
13,,17863544.902068,21882479.051059,0,4,0,0,yes,1.000000
12,,705066430.688418,749653339.857706,0,11,0,0,yes,1.000000
11,,1003817025.933365,1442035543.702426,0,19,0,0,yes,1.000000
10,,1102896837.645510,1131236061.517640,0,13,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,3520711787.622818,0,32,0,0,yes,1.000000
7,,752792545.536678,785619886.122530,0,8,0,0,yes,1.000000
6,,566484374.762822,700927912.165193,0,9,0,0,yes,1.000000
5,,1003389069.255157,1076542161.131083,0,11,0,0,yes,1.000000
4,,290422897.200464,361055740.571098,0,9,0,0,yes,1.000000
3,,1493331560.256336,1500968182.229000,0,19,0,0,yes,1.000000
2,,426394164.332597,590165524.739002,0,9,0,0,yes,1.000000
1,,222112856.130479,225948254.278802,0,5,0,0,yes,1.000000
