"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,73671748.423989,0,11,0,0,yes,1.000000
19,,205595432.137848,257885402.276574,0,14,0,0,yes,1.000000
18,,6912402.709697,31595104.989735,0,4,0,0,yes,1.000000
17,,454391920.707954,731722348.843673,0,22,0,0,yes,1.000000
16,,296351780.189224,413890086.200180,0,14,0,0,yes,1.000000
15,,26205526.782636,41158167.441878,0,5,0,0,yes,1.000000
14,,12003992.311404,21047029.634536,0,6,0,0,yes,1.000000
13,,17863544.902068,18776222.872958,0,4,0,0,yes,1.000000
12,,705066430.688418,706437993.832580,0,14,0,0,yes,1.000000
11,,1003817025.933365,1110227839.362396,0,17,0,0,yes,1.000000
10,,1102896837.645510,1499214510.430657,0,17,0,0,yes,1.000000
9,,12125270.957123,23723025.523542,0,6,0,0,yes,1.000000
8,,2340142025.314821,2837374486.914031,0,28,0,0,yes,1.000000
7,,752792545.536678,758734173.604975,0,10,0,0,yes,1.000000
6,,566484374.762822,600349825.052483,0,9,0,0,yes,1.000000
5,,1003389069.255157,1039627809.173704,0,9,0,0,yes,1.000000
4,,290422897.200464,337527758.186775,0,9,0,0,yes,1.000000
3,,1493331560.256336,1524935022.269497,0,22,0,0,yes,1.000000
2,,426394164.332597,528613107.582323,0,8,0,0,yes,1.000000
1,,222112856.130479,229765473.336925,0,5,0,0,yes,1.000000
