"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,98777525.548554,0,12,0,0,yes,1.000000
19,,205595432.137848,452972627.916524,0,24,0,0,yes,1.000000
18,,6912402.709697,29618281.694326,0,4,0,0,yes,1.000000
17,,454391920.707954,575944409.161923,0,21,0,0,yes,1.000000
16,,296351780.189224,499125309.730638,0,16,0,0,yes,1.000000
15,,26205526.782636,37224301.236334,0,5,0,0,yes,1.000000
14,,12003992.311404,27145310.568288,0,6,0,0,yes,1.000000
13,,17863544.902068,23315908.024552,0,5,0,0,yes,1.000000
12,,705066430.688418,717622587.379174,0,11,0,0,yes,1.000000
11,,1003817025.933365,1670217566.614179,0,22,0,0,yes,1.000000
10,,1102896837.645510,1842297531.363933,0,18,0,0,yes,1.000000
9,,12125270.957123,30694016.906399,0,6,0,0,yes,1.000000
8,,2340142025.314821,2949157256.498321,0,30,0,0,yes,1.000000
7,,752792545.536678,836237606.990714,0,8,0,0,yes,1.000000
6,,566484374.762822,1201614198.675257,0,15,0,0,yes,1.000000
5,,1003389069.255157,1024647758.018561,0,9,0,0,yes,1.000000
4,,290422897.200464,712524236.968608,0,16,0,0,yes,1.000000
3,,1493331560.256336,1528473791.114496,0,17,0,0,yes,1.000000
2,,426394164.332597,590165524.739002,0,9,0,0,yes,1.000000
1,,222112856.130479,229382090.494629,0,6,0,0,yes,1.000000
